,OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Coordinates
0,7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,
1,9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,"[-90.48613880881115, 43.972293862467815]"
2,20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,
3,20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,
4,28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,
5,35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,"[-75.09001150595121, 40.922664995581464]"
6,36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,
7,44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,"[-97.59964046036663, 30.834592835200006]"
8,46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,"[-85.94382927520853, 32.4167872874268]"
9,49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,
10,50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,
11,56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,"[-100.28887435, 46.8137079]"
12,75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,"[-107.910127, 38.508622900000006]"
13,77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,"[-75.56127877002159, 38.56825713817723]"
14,79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,243,3.249,
15,81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,"[-82.52146279295091, 27.5262425]"
16,85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459,"[-105.58086471170168, 39.76348079102945]"
17,91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,135,3.499,"[-82.8961899, 33.5539938]"
18,105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,"[-83.86472334999999, 43.350764]"
19,105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.339,"[-83.86472334999999, 43.350764]"
20,105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.429,"[-83.86472334999999, 43.350764]"
21,105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.289,"[-83.86472334999999, 43.350764]"
22,105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.399,"[-83.86472334999999, 43.350764]"
23,105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.299,"[-83.86472334999999, 43.350764]"
24,118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,"[-109.04895317771762, 35.360349825753914]"
25,121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,"[-111.58329513250789, 32.754562777335174]"
26,127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,"[-87.55080319999999, 37.904402000000005]"
27,128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.399,"[-88.56072412892057, 39.13697459205623]"
28,128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.349,"[-88.56072412892057, 39.13697459205623]"
29,128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.549,"[-88.56072412892057, 39.13697459205623]"
30,135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,"[-90.01050169722143, 41.40753692843962]"
31,135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.389,"[-90.01050169722143, 41.40753692843962]"
32,135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.449,"[-90.01050169722143, 41.40753692843962]"
33,147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,"[-85.56861789598985, 40.11755093783289]"
34,149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN,370,3.59233333,
35,151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233333,"[-100.1619896, 40.9277324]"
36,159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,"[-81.88303305542782, 30.30626281257949]"
37,159,PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,"[-81.88303305542782, 30.30626281257949]"
38,160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.23233333,
39,164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,
40,167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,"[-87.2003091, 41.3186482]"
41,174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859,"[-94.6748584, 31.66649425]"
42,184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,
43,186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239,"[-104.9563916706899, 44.264304628839795]"
44,187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333,"[-93.37997442677434, 42.77412068320187]"
45,191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,
46,192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099,"[-94.37485472671487, 41.496184743607294]"
